pageName|name|testData|xpath

annualAdjustment|annualAdjustment|tiltle<name>年調データ入力|//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/table/tbody/tr/td/table/tbody/tr/td/div/div/table/tbody/tr/td/div
annualAdjustment|yearDate|TS1638<name>年調データ入力|//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/table/tbody/tr/td/table/tbody/tr/td/div/div/table/tbody/tr/td/div
annualAdjustment|inputAnnualAdjustmentData||//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/table/tbody/tr/td/table/tbody/tr/td/div/div/table/tbody/tr/td/div

annualAdjustment|payTab|title<name>源泉徴収簿|//div[3]/ul/li/div/div/div/span
annualAdjustment|annualAdjPage|TS18<name>源泉徴収簿入力|//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div[2]/div/div/div/table/tbody/tr/td
annualAdjustment|emp1||//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div[3]/div/div[2]/div/div/table/tbody/tr/td/table/tbody/tr/td/div/div/table/tbody/tr/td/div/span[2]
annualAdjustment|emp2||//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div[3]/div/div[2]/div/div/table/tbody/tr/td/table/tbody/tr/td/div/div/table/tbody/tr[2]/td/div/span[2]
annualAdjustment|emp3||//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div[3]/div/div[2]/div/div/table/tbody/tr/td/table/tbody/tr/td/div/div/table/tbody/tr[3]/td/div/span[2]
annualAdjustment|empTitle|TS11665<name>010010 甲野月 一郎<data>TS11704<name>010030 甲野月 三郎<data>TS12213<name>010040 甲野月 四郎|//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div[3]/div/div[3]/div/div/div/div/div/div/fieldset/div/div/div[3]/table/tbody[2]/tr/td/div/span[2]
annualAdjustment|paymentDate_1Mon|TS2311<name>1<data>TS3549<name>5<data>TS2869<name>1<data>TS3036_1<name>1<data>TS3036_2<name>1<data>TS3036_3<name>1<data>TS4158<name>1|//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div[3]/div/div[3]/div/div/div/div/div/div/fieldset/div/table/tbody/tr/td/div/div/div/div/div[3]/table/tbody[2]/tr[2]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td/input
annualAdjustment|paymentDate_2Mon|TS2329<name>2<data>TS3549<name>6<data>TS3036_1<name>2<data>TS3036_2<name>2<data>TS3036_3<name>2<data>TS4184<name>2|//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div[3]/div/div[3]/div/div/div/div/div/div/fieldset/div/table/tbody/tr/td/div/div/div/div/div[3]/table/tbody[2]/tr[3]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td/input
annualAdjustment|paymentDate_3Mon|TS2371<name>3<data>TS3549<name>7<data>TS3036_1<name>3<data>TS3036_2<name>3<data>TS3036_3<name>3<data>TS4184<name>3|//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div[3]/div/div[3]/div/div/div/div/div/div/fieldset/div/table/tbody/tr/td/div/div/div/div/div[3]/table/tbody[2]/tr[4]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td/input
annualAdjustment|paymentDate_4Mon|TS2395<name>4<data>TS3549<name>8<data>TS3036_1<name>4<data>TS3036_2<name>4<data>TS3036_3<name>4<data>TS4184<name>4|//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div[3]/div/div[3]/div/div/div/div/div/div/fieldset/div/table/tbody/tr/td/div/div/div/div/div[3]/table/tbody[2]/tr[5]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td/input
annualAdjustment|paymentDate_5Mon|TS2409<name>5<data>TS3549<name>9<data>TS3036_1<name>5<data>TS3036_2<name>5<data>TS3036_3<name>5<data>TS4184<name>5|//html/body/div/div/div/div[2]/div/div/div/div/div[3]/div/div/div/div/div[3]/div/div[3]/div/div/div/div/div/div/fieldset/div/table/tbody/tr/td/div/div/div/div/div[3]/table/tbody[2]/tr[6]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td/input
