pageName|name|testData|xpath

reportDprcCommon|reportDprcCommon_date||//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div/div/div/div[3]/div[3]/table/tbody[2]/tr/td/div/span
reportDprcCommon|presentationDate_ear|TS8851<name>平成|//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div/div/div/div[3]/div[3]/table/tbody[2]/tr[2]/td[2]/div/div/span/select
reportDprcCommon|presentationDate_year|TS8851<name>25|//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div/div/div/div[3]/div[3]/table/tbody[2]/tr[2]/td[2]/div/div/span/input
reportDprcCommon|presentationDate_month|TS8851<name>1|//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div/div/div/div[3]/div[3]/table/tbody[2]/tr[2]/td[2]/div/div/span/input[2]
reportDprcCommon|presentationDate_day|TS8851<name>20|//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div/div/div/div[3]/div[3]/table/tbody[2]/tr[2]/td[2]/div/div/span/input[3]
reportDprcCommon|businessItem|TS8852<name>情報通信業|//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div/div/div/div[3]/div[3]/table/tbody[2]/tr[3]/td[2]/div/div/input
reportDprcCommon|capitalAsOther|TS8853<name>2,500,000,000|//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div/div/div/div[3]/div[3]/table/tbody[2]/tr[4]/td[2]/div/div/input
reportDprcCommon|businessStartDate_ear_RDC|TS8856<name>平成|//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div/div/div/div[3]/div[3]/table/tbody[2]/tr[5]/td[2]/div/div/span/select
reportDprcCommon|businessStartDate_year_RDC|TS8856<name>10|//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div/div/div/div[3]/div[3]/table/tbody[2]/tr[5]/td[2]/div/div/span/input
reportDprcCommon|businessStartDate_month_RDC|TS8856<name>10|//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div/div/div/div[3]/div[3]/table/tbody[2]/tr[5]/td[2]/div/div/span/input[2]
reportDprcCommon|responderPost_RDC|TS8857<name>経理部|//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div/div/div/div[3]/div[3]/table/tbody[2]/tr[7]/td[2]/div/div/input
reportDprcCommon|responderName_RDC|TS8858<name>申告　花子|//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div/div/div/div[3]/div[3]/table/tbody[2]/tr[8]/td[2]/div/div/input
reportDprcCommon|responderTelephone_1_RDC|TS8859<name>0120|//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div/div/div/div[3]/div[3]/table/tbody[2]/tr[9]/td[2]/div/div/table/tbody/tr/td/table/tbody/tr/td/input
reportDprcCommon|responderTelephone_2_RDC|TS8859<name>555|//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div/div/div/div[3]/div[3]/table/tbody[2]/tr[9]/td[2]/div/div/table/tbody/tr/td/table/tbody/tr/td[5]/input
reportDprcCommon|responderTelephone_3_RDC|TS8859<name>6666|//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div/div/div/div[3]/div[3]/table/tbody[2]/tr[9]/td[2]/div/div/table/tbody/tr/td/table/tbody/tr/td[9]/input

reportReturnOfficeSetting|reportReturnOfficeSetting||//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div/div/div/div[2]/div/div/div/div/div[3]/ul/li[2]/div/div/div/span
reportReturnOfficeSetting|list_firstline||//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div/div/div/div[4]/div[3]/table/tbody[2]/tr/td/div/div
reportReturnOfficeSetting|list_secondline||//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div/div/div/div[4]/div[3]/table/tbody[2]/tr[2]/td/div/div
reportReturnOfficeSetting|list_thirdline||//html/body/div/div/div/div[2]/div/div/div/div/div[2]/div/div/div/div/div/div[4]/div[3]/table/tbody[2]/tr[3]/td/div/div
reportReturnOfficeSetting|popUp_taxationInstallation|TS8501<name>3 東京支店<data>TS8201<name>1 郡山本社<data>TS8038<name>2 福島支店|//html/body/div[5]/div[3]/div/div/div/div[3]/div/div[3]/table/tbody[2]/tr[2]/td[2]/i/input
reportReturnOfficeSetting|popUp_taxationInstallation_2|TS8226<name>4 郡山営業所|//html/body/div[5]/div[3]/div/div/div/div[3]/div/div[3]/table/tbody[2]/tr[3]/td[2]/i/input
reportReturnOfficeSetting|popUp_reportDivision|TS8232<name>全資産申告（電算処理分）<data>TS8042<name>増加資産／減少資産申告|//html/body/div[5]/div[3]/div/div/div/div[3]/div/div[3]/table/tbody[2]/tr[6]/td/div/select
reportReturnOfficeSetting|popUp_prevAcquisitionCost|TS8234<name>自動計算<data>TS8063<name>手入力|//html/body/div[5]/div[3]/div/div/div/div[3]/div/div[3]/table/tbody[2]/tr[6]/td[2]/div/select
reportReturnOfficeSetting|popUp_valuationDisplay|TS8236<name>表示<data>TS8066<name>非表示|//html/body/div[5]/div[3]/div/div/div/div[3]/div/div[3]/table/tbody[2]/tr[6]/td[3]/div/select
reportReturnOfficeSetting|popUp_decisionAmountDisplay|TS8265<name>表示<data>TS8069<name>非表示|//html/body/div[5]/div[3]/div/div/div/div[3]/div/div[3]/table/tbody[2]/tr[8]/td/div/select
reportReturnOfficeSetting|popUp_standarAssessmentDisplay|TS8266<name>表示<data>TS8070<name>非表示|//html/body/div[5]/div[3]/div/div/div/div[3]/div/div[3]/table/tbody[2]/tr[8]/td[2]/div/select
reportReturnOfficeSetting|popUp_SAFM|TS8268<name>端数処理しない<data>TS8072<name>1,000円未満切捨|//html/body/div[5]/div[3]/div/div/div/div[3]/div/div[3]/table/tbody[2]/tr[8]/td[3]/div/select
reportReturnOfficeSetting|popUp_codeDisplay|TS8292<name>表示<data>TS8074<name>非表示|//html/body/div[5]/div[3]/div/div/div/div[3]/div/div[3]/table/tbody[2]/tr[10]/td/div/select
reportReturnOfficeSetting|popUp_residualRateDisplay|TS8300<name>表示<data>TS8076<name>非表示|//html/body/div[5]/div[3]/div/div/div/div[3]/div/div[3]/table/tbody[2]/tr[10]/td[2]/div/select
reportReturnOfficeSetting|popUp_amountDisplay|TS8309<name>表示<data>TS8079<name>非表示|//html/body/div[5]/div[3]/div/div/div/div[3]/div/div[3]/table/tbody[2]/tr[10]/td[3]/div/select
