pageName|name|testData|xpath

changeTaxReportSetting|name|TS7824<name>償却資産申告書テスト|//html/body/div/div/div/div/div[2]/div/div/div/div/div/div/div/div/div/fieldset/div/div/div/table/tbody/tr[2]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td[3]/input
changeTaxReportSetting|name_kana|TS7827<name>ショウキャクシサンシンコクショテスト|//html/body/div/div/div/div/div[2]/div/div/div/div/div/div/div/div/div/fieldset/div/div/div/table/tbody/tr[3]/td[2]/div/input
changeTaxReportSetting|zipCode_1|TS7828<name>963|//html/body/div/div/div/div/div[2]/div/div/div/div/div/div/div/div/div/fieldset/div/div/div/table/tbody/tr[5]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td/input
changeTaxReportSetting|zipCode_2|TS7828<name>8041|//html/body/div/div/div/div/div[2]/div/div/div/div/div/div/div/div/div/fieldset/div/div/div/table/tbody/tr[5]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td[5]/input
changeTaxReportSetting|prefecture|TS7829<name>福島県|//html/body/div/div/div/div/div[2]/div/div/div/div/div/div/div/div/div/fieldset/div/div/div/table/tbody/tr[6]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td/table/tbody/tr/td/table/tbody/tr[3]/td/input
changeTaxReportSetting|city|TS7829<name>郡山市|//html/body/div/div/div/div/div[2]/div/div/div/div/div/div/div/div/div/fieldset/div/div/div/table/tbody/tr[6]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td[3]/table/tbody/tr/td/table/tbody/tr[3]/td/input
changeTaxReportSetting|town|TS7829<name>富田町|//html/body/div/div/div/div/div[2]/div/div/div/div/div/div/div/div/div/fieldset/div/div/div/table/tbody/tr[6]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td[5]/table/tbody/tr/td/table/tbody/tr[3]/td/input
changeTaxReportSetting|street|TS7829<name>大十字４－５|//html/body/div/div/div/div/div[2]/div/div/div/div/div/div/div/div/div/fieldset/div/div/div/table/tbody/tr[6]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td[7]/table/tbody/tr/td/table/tbody/tr[3]/td/input
changeTaxReportSetting|building|TS7829<name>償却ビル２０５号|//html/body/div/div/div/div/div[2]/div/div/div/div/div/div/div/div/div/fieldset/div/div/div/table/tbody/tr[6]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td[9]/table/tbody/tr/td/table/tbody/tr[3]/td/input
changeTaxReportSetting|prefecture_kana|TS7834<name>フクシマケン|//html/body/div/div/div/div/div[2]/div/div/div/div/div/div/div/div/div/fieldset/div/div/div/table/tbody/tr[7]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td/table/tbody/tr/td/table/tbody/tr/td/input
changeTaxReportSetting|city_kana|TS7834<name>コオリヤマシ|//html/body/div/div/div/div/div[2]/div/div/div/div/div/div/div/div/div/fieldset/div/div/div/table/tbody/tr[7]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td[3]/table/tbody/tr/td/table/tbody/tr/td/input
changeTaxReportSetting|town_kana|TS7834<name>トミタマチ|//html/body/div/div/div/div/div[2]/div/div/div/div/div/div/div/div/div/fieldset/div/div/div/table/tbody/tr[7]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td[5]/table/tbody/tr/td/table/tbody/tr/td/input
changeTaxReportSetting|street_kana|TS7834<name>ダイジュウジ|//html/body/div/div/div/div/div[2]/div/div/div/div/div/div/div/div/div/fieldset/div/div/div/table/tbody/tr[7]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td[7]/table/tbody/tr/td/table/tbody/tr/td/input
changeTaxReportSetting|building_kana|TS7834<name>ショウキャクビル|//html/body/div/div/div/div/div[2]/div/div/div/div/div/div/div/div/div/fieldset/div/div/div/table/tbody/tr[7]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td[9]/table/tbody/tr/td/table/tbody/tr/td/input
changeTaxReportSetting|telephone_1|TS7842<name>0120|//html/body/div/div/div/div/div[2]/div/div/div/div/div/div/div/div/div/fieldset/div/div/div/table/tbody/tr[9]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td/input
changeTaxReportSetting|telephone_2|TS7842<name>555|//html/body/div/div/div/div/div[2]/div/div/div/div/div/div/div/div/div/fieldset/div/div/div/table/tbody/tr[9]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td[5]/input
changeTaxReportSetting|telephone_3|TS7842<name>6666|//html/body/div/div/div/div/div[2]/div/div/div/div/div/div/div/div/div/fieldset/div/div/div/table/tbody/tr[9]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td[9]/input
changeTaxReportSetting|personNum_1|TS7843<name>1234|//html/body/div/div/div/div/div[2]/div/div/div/div/div/div/div/div/div/fieldset/div/div/div/table/tbody/tr[11]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td/input
changeTaxReportSetting|personNum_2|TS7843<name>9999|//html/body/div/div/div/div/div[2]/div/div/div/div/div/div/div/div/div/fieldset/div/div/div/table/tbody/tr[11]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td[5]/input
changeTaxReportSetting|personNum_3|TS7843<name>8888|//html/body/div/div/div/div/div[2]/div/div/div/div/div/div/div/div/div/fieldset/div/div/div/table/tbody/tr[11]/td[2]/div/table/tbody/tr/td/table/tbody/tr/td[9]/input
