pageName|name|testData|xpath
companyClient|companyCode|TS7379<name>5123000|//table/tbody/tr/td[2]/div/div/div/input
companyClient|companyName|TS7380<name>償却資産申告書テスト|//table/tbody/tr[6]/td[2]/div/div/div/input
companyClient|companyKana|TS7381<name>ショウキャクシサンシンコクショテスト|//table/tbody/tr[7]/td[2]/div/div/div/input
companyClient|companyShortName|TS7387<name>償却資産申告書テスト|//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div/div/table/tbody/tr[10]/td[2]/div/div/input
companyClient|businessItem|TS7516<name>情報通信業|//div/table/tbody/tr[5]/td[2]/div/div/select
companyClient|businessContents|TS7539<name>償却資産申告書作成事業<data>TS3932<name>事业内容内容<data>TS3932_2<name>事事业内容内容<data>TS3302<name>事业内容|//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[8]/div/table/tbody/tr[6]/td[2]/div/div/input
companyClient|representativeName_firstName|TS3932<name>姓１<data>TS3932_2<name>姓１１|//div/table/tbody/tr[9]/td[2]/div/div/div/div/input
companyClient|representativeName_firstNameKana|TS3932_2<name>リガリガリガ<data>TS3932<name>リガリガ|//div/table/tbody/tr[10]/td[2]/div/div/div/div[2]/input
companyClient|representativeName_lastName|TS3932<name>名１<data>TS3932_2<name>名１１|//div/table/tbody/tr[9]/td[2]/div/div/div/div[2]/input
companyClient|representativeName_lastNameKana|TS3932_2<name>リガリガ<data>TS3932<name>リガ|//div/table/tbody/tr[10]/td[2]/div/div/div/div/input
companyClient|representativeName_disp||//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[8]/div/table/tbody/tr[9]/td[2]/div/div/span
companyClient|zipCode1|TS7388<name>963<data>TS3932<name>123|//div/table/tbody/tr/td[2]/div/div/div/span/input
companyClient|zipCode2|TS7388<name>8041<data>TS3932<name>1234|//div/table/tbody/tr/td[2]/div/div/div/span/input[2]
companyClient|zipCode_search||//div/table/tbody/tr/td[2]/div/div/div/span/button
companyClient|localGovernmentCode|TS7482<name>07203<data>TS3932<name>12345<data>TS3932_2<name>1234|//div/table/tbody/tr[2]/td[2]/div/div/input
companyClient|prefecture|TS7483<name>福島県<data>TS3932<name>北海道|//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[4]/div[2]/table/tbody[2]/tr[3]/td[2]/div/div/div/div/input
companyClient|city|TS7484<name>郡山市<data>TS3932<name>真岡市１<data>TS3932_2<name>真岡市１１|//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[4]/div[2]/table/tbody[2]/tr[3]/td[2]/div/div/div/div[2]/input
companyClient|cityKana|TS7485<name>コオリヤマシ<data>TS3932<name>モオカシシ<data>TS3932_2<name>モオカカシシ|//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[4]/div[2]/table/tbody[2]/tr[3]/td[2]/div/div/div/div[2]/input[2]
companyClient|town|TS7490<name>富田町<data>TS3932<name>小林１<data>TS3932_2<name>小林１１|//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[4]/div[2]/table/tbody[2]/tr[3]/td[2]/div/div/div/div[3]/input
companyClient|townKana|TS7491<name>トミタマチ<data>TS3932<name>コバヤシシ<data>TS3932_2<name>コバヤシシシ|//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[4]/div[2]/table/tbody[2]/tr[3]/td[2]/div/div/div/div[3]/input[2]
companyClient|streetNumber|TS7492<name>大十字４－５<data>TS3932<name>林１<data>TS3932_2<name>林１１|//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[4]/div[2]/table/tbody[2]/tr[3]/td[2]/div/div/div[2]/div/input
companyClient|streetNumberKana|TS7493<name>ダイジュウジ<data>TS3932<name>ヤシ<data>TS3932_2<name>ヤシシ|//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[4]/div[2]/table/tbody[2]/tr[3]/td[2]/div/div/div[2]/div/input[2]
companyClient|buildingName|TS7499<name>償却ビル２０５号<data>TS3932<name>小１<data>TS3932_2<name>小１１|//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[4]/div[2]/table/tbody[2]/tr[3]/td[2]/div/div/div[2]/div[2]/input
companyClient|buildingKanaName|TS7500<name>ショウキャクビル<data>TS3932<name>ヤシ<data>TS3932_2<name>ヤヤシ|//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[4]/div[2]/table/tbody[2]/tr[3]/td[2]/div/div/div[2]/div[2]/input[2]
companyClient|telephoneNum_1|TS7501<name>0120|//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[6]/div/table/tbody/tr/td[2]/div/div/div/input
companyClient|telephoneNum_2|TS7501<name>555|//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[6]/div/table/tbody/tr/td[2]/div/div/div/input[2]
companyClient|telephoneNum_3|TS7501<name>6666|//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[6]/div/table/tbody/tr/td[2]/div/div/div/input[3]
companyClient|cellNum_1|TS7502<name>090|//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[6]/div/table/tbody/tr[2]/td[2]/div/div/div/input
companyClient|cellNum_2|TS7502<name>551|//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[6]/div/table/tbody/tr[2]/td[2]/div/div/div/input[2]
