pageName|name|testData|xpath
personClient|clientCode||//tr/td[2]/div/div/input
personClient|individualName_lastName|common<name>姓１<data>TS4331<name>姓１<data>TS4331_2<name>姓１１|//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[2]/div/table/tbody/tr[2]/td[2]/div/div/div/div/input
personClient|individualName_firstName|common<name>名１<data>TS4331<name>名１<data>TS4331_2<name>名１１|//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[2]/div/table/tbody/tr[2]/td[2]/div/div/div/div[2]/input
personClient|individualName_lastNameKana|common<name>フリ<data>TS4331<name>フリガ|//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[2]/div/table/tbody/tr[3]/td[2]/div/div/div/div/input
personClient|individualName_firstNameKana|common<name>フリ<data>TS4331<name>フリガ|//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[2]/div/table/tbody/tr[3]/td[2]/div/div/div/div[2]/input
personClient|individualName_disp||//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[2]/div/table/tbody/tr[2]/td[2]/div/div/span
personClient|birthday_yearType||//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[2]/div/table/tbody/tr[4]/td[2]/div/div/span[2]/select
personClient|birthday_year||//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[2]/div/table/tbody/tr[4]/td[2]/div/div/span[2]/input
personClient|birthday_month||//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[2]/div/table/tbody/tr[4]/td[2]/div/div/span[2]/input[2]
personClient|birthday_day||//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[2]/div/table/tbody/tr[4]/td[2]/div/div/span[2]/input[3]
personClient|gender_male||//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[2]/div/table/tbody/tr[5]/td[2]/div/div/div/span/span/input
personClient|gender_female||//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[2]/div/table/tbody/tr[5]/td[2]/div/div/div/span/span[2]/input
personClient|occupation|TS4331<name>１２３４５６７８９０１２３４５６７８９０<data>TS4331_2<name>１２３４５６７|//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[2]/div/table/tbody/tr[6]/td[2]/div/div/div/input
personClient|occupation_disp||//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[2]/div/table/tbody/tr[6]/td[2]/div/div/span
personClient|statementType_General||//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[2]/div/table/tbody/tr[7]/td[2]/div/div/div/span/input
personClient|statementType_Estate||//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[2]/div/table/tbody/tr[7]/td[2]/div/div/div/span[2]/input
personClient|zipCode1|TS4331<name>321<data>TS4331_2<name>123|//html/body/div/div[2]/div/div/div/div/div/div/div[3]/div/div/div/div/div/div[3]/div[5]/div/table/tbody/tr/td[2]/div/div/span/input
